filename,magnification,flat_field_radius_px,flat_field_working_radius_px,denoise_patch_size_px,denoise_patch_distance_px,denoise_boundary_limit_px,denoise_sigma_est,denoise_h,clahe_kernel_size_px,clahe_clip_limit,flat_field_output_path,denoised_output_path,clahe_output_path,figure_path
62990661-C-100X.JPG,100,200.0,20,3,6,2.0,0.009587078355252743,0.007669662684202195,200,0.01,data/interim/enhanced/62990661-C-100X_flat_field.npy,data/interim/enhanced/62990661-C-100X_denoised.npy,data/interim/enhanced/62990661-C-100X_clahe.npy,data/outputs/enhance_stages/62990661-C-100X_enhance_stages.png
62990661-C-200X.JPG,200,400.0,20,7,12,4.0,0.011873769573867321,0.009499015659093857,400,0.01,data/interim/enhanced/62990661-C-200X_flat_field.npy,data/interim/enhanced/62990661-C-200X_denoised.npy,data/interim/enhanced/62990661-C-200X_clahe.npy,data/outputs/enhance_stages/62990661-C-200X_enhance_stages.png
62990661-R-100X.JPG,100,200.0,20,3,6,2.0,0.006993390619754791,0.005594712495803834,200,0.01,data/interim/enhanced/62990661-R-100X_flat_field.npy,data/interim/enhanced/62990661-R-100X_denoised.npy,data/interim/enhanced/62990661-R-100X_clahe.npy,data/outputs/enhance_stages/62990661-R-100X_enhance_stages.png
62990661-R-200X.JPG,200,400.0,20,7,12,4.0,0.007896221242845058,0.006316976994276047,400,0.01,data/interim/enhanced/62990661-R-200X_flat_field.npy,data/interim/enhanced/62990661-R-200X_denoised.npy,data/interim/enhanced/62990661-R-200X_clahe.npy,data/outputs/enhance_stages/62990661-R-200X_enhance_stages.png
